Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
23,Sat,2011-03-12,,Rio Ave,0–0,Sporting CP,,Estádio do Rio Ave Futebol Clube ,João Ferreira,Match Report,
23,Sun,2011-03-13,,Benfica,1–1,Portimonense,,Estádio do Sport Lisboa e Benfica ,Paulo Baptista,Match Report,
23,Sun,2011-03-13,,Naval,0–3,Marítimo,,Estádio Municipal José Bento Pessoa ,Rui Costa,Match Report,
23,Sun,2011-03-13,,Nacional,1–1,Académica,,Estádio da Madeira ,Luís Catita,Match Report,
23,Mon,2011-03-14,,União de Leiria,0–2,Porto,,Estádio Dr. Magalhães Pessoa ,Cosme Machado,Match Report,

24,Fri,2011-03-18,,Portimonense,2–1,Vitória,,Estádio do Portimonense SC ,Pedro Proença,Match Report,
24,Sat,2011-03-19,,Sporting CP,0–0,União de Leiria,,Estádio José Alvalade ,Rui Costa,Match Report,
24,Sun,2011-03-20,,Marítimo,4–0,Olhanense,,Estádio dos Barreiros ,Hugo Pacheco,Match Report,
24,Sun,2011-03-20,,Vitória Setúbal,2–1,Nacional,,Estádio do Bonfim ,Paulo Baptista,Match Report,
24,Sun,2011-03-20,,Naval,2–2,Beira-Mar,,Estádio Municipal José Bento Pessoa ,Jorge Sousa,Match Report,
24,Sun,2011-03-20,,Porto,3–1,Académica,,Estádio Do Dragão ,André Gralha,Match Report,
24,Mon,2011-03-21,,Paços,1–5,Benfica,,Estádio da Capital do Móvel ,Artur Soares Dias,Match Report,
24,Mon,2011-03-21,,Braga,1–0,Rio Ave,,Estádio Municipal de Braga ,Hugo Miguel,Match Report,

23,Sun,2011-03-27,,Olhanense,0–2,Braga,,Estádio José Arcanjo ,Elmano Santos,Match Report,

25,Fri,2011-04-01,,União de Leiria,1–3,Marítimo,,Estádio Dr. Magalhães Pessoa ,Jorge Sousa,Match Report,
25,Sat,2011-04-02,,Beira-Mar,1–2,Braga,,Estádio Municipal de Aveiro ,Artur Soares Dias,Match Report,
25,Sat,2011-04-02,,Académica,1–0,Portimonense,,Estádio EFAPEL ,Olegário Benquerença,Match Report,
25,Sun,2011-04-03,,Vitória,1–1,Sporting CP,,Estádio Dom Afonso Henriques ,João Capela,Match Report,
25,Sun,2011-04-03,,Benfica,1–2,Porto,,Estádio do Sport Lisboa e Benfica ,Duarte Gomes,Match Report,
25,Sun,2011-04-03,,Olhanense,1–3,Naval,,Estádio José Arcanjo ,João Ferreira,Match Report,
25,Sun,2011-04-03,,Rio Ave,2–0,Vitória Setúbal,,Estádio do Rio Ave Futebol Clube ,Pedro Proença,Match Report,
25,Mon,2011-04-04,,Nacional,1–0,Paços,,Estádio da Madeira ,Jorge Ferreira,Match Report,

26,Fri,2011-04-08,,Marítimo,1–1,Nacional,,Estádio dos Barreiros ,João Capela,Match Report,
26,Sat,2011-04-09,,Sporting CP,2–0,Académica,,Estádio José Alvalade ,Hugo Miguel,Match Report,
26,Sun,2011-04-10,,Beira-Mar,1–0,Olhanense,,Estádio Municipal de Aveiro ,Hélder Malheiro,Match Report,
26,Sun,2011-04-10,,Portimonense,2–3,Porto,,Estádio do Portimonense SC ,Marco Ferreira,Match Report,
26,Sun,2011-04-10,,Naval,2–1,Benfica,,Estádio Municipal José Bento Pessoa ,Bruno Paixão,Match Report,
26,Sun,2011-04-10,,Paços,1–6,Rio Ave,,Estádio da Capital do Móvel ,Rui Silva,Match Report,
